seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,3068.4073608544763,2269.7321666666667,407.80852752114305,390.8666666666667,20334
-5541464229484342020,1,240,24,2400.0341143598203,1673.7611166666666,388.606331026487,337.6666666666667,18480
5203306459365885672,1,240,24,2361.003821595531,1578.6436,437.0268882621973,345.3333333333333,17214
7642908639498411342,1,240,24,4823.301034990951,3826.840166666667,423.9275349909504,572.5333333333333,17219
-2451299337107840008,1,240,24,2572.325011181961,1795.6920333333333,420.9996445152947,355.6333333333333,18643
5928283818417923153,1,240,24,2978.3551350529215,2146.4636666666665,424.64146838625476,407.25,17727
2461734090402507026,1,240,24,2589.7978269683317,1829.7781,406.8530603016654,353.1666666666667,21469
2134024673109844781,1,240,24,1157.1586742986162,575.6920666666666,421.8832742986163,159.58333333333334,21028
-8961300118901020200,1,240,24,998.7832070775554,469.55171666666666,396.3314904108887,132.9,20629
8075292919129901534,1,240,24,1230.476690830418,601.5201,399.5399241637514,229.41666666666666,21430
-8261313408374103090,1,240,24,3991.590891157663,3036.2409,444.03332449099673,511.31666666666666,19777
7674419966232165276,1,240,24,2304.7802238139466,1590.2562166666667,398.94067381394666,315.5833333333333,19940
7109546606045534716,1,240,24,1667.6345960992383,938.55795,427.29331276590494,301.78333333333336,21085
6556361022965809331,1,240,24,2605.80152190393,1884.6767333333332,423.39145523726364,297.73333333333335,20675
-8727434480880003295,1,240,24,2792.015139280251,2001.5265,414.40530594691745,376.0833333333333,20297
316214762330218711,1,240,24,2179.4932691349886,1432.9955666666667,412.481035801655,334.01666666666665,20612
511168606054560241,1,240,24,2235.7857795049617,1540.7313166666668,410.28779617162826,284.76666666666665,20895
-6944560613166325532,1,240,24,2136.9136930032673,1364.0182666666667,423.56209300326725,349.3333333333333,20892
8502646895184153456,1,240,24,2720.583426675245,1939.0352833333334,423.83147667524486,357.71666666666664,20907
-6150989588647184654,1,240,24,1736.0810971944193,1099.4711,417.5766638610861,219.03333333333333,20917
6940304193960507239,1,240,24,2807.7712328074176,2032.9938333333334,394.9273994740843,379.85,21717
8994497875694156924,1,240,24,2836.657845504174,2063.8042666666665,419.7702455041738,353.0833333333333,21467
-2003976480001387728,1,240,24,1938.5773299000025,1251.27845,422.8988799000024,264.4,21353
-2327051053310206553,1,240,24,2143.7904210026973,1416.5260333333333,424.5477210026974,302.71666666666664,21215
647836301658713295,1,240,24,4221.824882226962,3284.2668,408.99141556029457,528.5666666666667,20074
-71164265115712545,1,240,24,2915.9441026723266,2078.2062333333333,412.87120267232655,424.8666666666667,20824
-481587656727886274,1,240,24,3243.8335306360373,2366.4827,441.8174973027038,435.53333333333336,20955
-4655524451843305732,1,240,24,2624.9084259244573,1874.5156,407.8761592577909,342.51666666666665,19814
-1727967857368879678,1,240,24,2741.1781077036985,1978.4798833333334,414.9315577036986,347.76666666666665,20188
5771633175417198029,1,240,24,1272.6661434014754,621.2742666666667,441.12521006814217,210.26666666666668,21170
8299545893154012244,1,240,24,2678.147763483925,1876.0787833333334,425.8023134839248,376.26666666666665,20156
3851493833045990751,1,240,24,1916.1323041707267,1221.6806666666666,429.2516375040601,265.2,21188
-1432278026293412667,1,240,24,1410.8542501416,812.3425833333333,433.62833347493336,164.88333333333333,20770
-8747899710202098414,1,240,24,1523.31340933228,893.0788666666666,422.8845426656134,207.35,20528
4129039993280480381,1,240,24,2942.0113618945265,2154.2363833333334,400.1249785611933,387.65,20226
-769090451196786164,1,240,24,1862.7710829337946,1109.1547166666667,415.84969960046135,337.76666666666665,20268
-764304691022715676,1,240,24,4919.010283013931,3905.97135,398.28893301393117,614.75,16853
-2097961214477019518,1,240,24,2009.7475328388596,1318.5592833333333,432.7882495055264,258.4,17874
-2172443498801002141,1,240,24,1107.5490811711309,523.7657666666667,429.6166478377975,154.16666666666666,16946
-3594014996973682261,1,240,24,2414.893101260795,1656.2788166666667,420.5142845941283,338.1,17199
2174041221540221373,1,240,24,2924.86334878315,2096.0611833333332,416.2688321164831,412.53333333333336,18040
7652091727516579789,1,240,24,2727.0640989390904,1953.2584333333334,428.07233227242335,345.73333333333335,19436
4806663257436010884,1,240,24,3852.3010114997683,2956.2696333333333,442.6480448331016,453.3833333333333,21638
4019719714918249116,1,240,24,1958.269087900404,1244.0715833333334,418.6141712337373,295.5833333333333,20065
1233470051117142250,1,240,24,2107.940280710744,1412.8759333333333,421.53101404407727,273.53333333333336,19872
-4756520794406406775,1,240,24,3031.3276604638677,2282.4546,388.18972713053444,360.68333333333334,20195
7072971265770373254,1,240,24,2030.385658222749,1334.3735166666668,430.32880822274893,265.68333333333334,20645
-2980548973580349928,1,240,24,1413.9922160787619,782.76105,405.3311660787619,225.9,20657
-229373424160374971,1,240,24,3001.9846348345322,2164.77085,417.93045150119906,419.28333333333336,19235
-4837391276686027125,1,240,24,4016.528919895977,3031.36435,419.5312365626441,565.6333333333333,20144
4457982772288341560,1,240,24,2957.5393107406517,2116.49965,431.1063274073182,409.93333333333334,19489
3065592784053488403,1,240,24,3625.070133022825,2822.3744333333334,398.779033022825,403.9166666666667,18264
5603879172479884005,1,240,24,863.9618897048183,359.44618333333335,409.51570637148495,95.0,17202
-5565222327294036679,1,240,24,1692.9590323855214,1064.5552833333334,412.58708238552146,215.81666666666666,20637
6591253900282895354,1,240,24,1150.4494425127843,576.8788666666667,428.27057584611765,145.3,18253
-2019178871806265670,1,240,24,1827.0426538668955,1181.92365,404.1690038668954,240.95,19720
7162833630586874668,1,240,24,1386.3189803644345,764.24765,421.5713303644346,200.5,21844
-7426705826541977542,1,240,24,3018.787409719719,2199.1351666666665,425.8355763863858,393.81666666666666,21365
4270183515862994556,1,240,24,936.2973843844807,407.41725,402.61346771781393,126.26666666666667,21358
6897316562374909112,1,240,24,3037.4126016704636,2163.1675333333333,427.3784016704634,446.8666666666667,20798
-2255782773862605881,1,240,24,1935.6493075463777,1206.9695333333334,458.97977421304427,269.7,19761
4773041614751148754,1,240,24,1917.0515373278934,1231.6196166666666,443.76525399456,241.66666666666666,21223
-1212073219054294370,1,240,24,2810.341698314347,2002.9085166666666,412.59984831434673,394.8333333333333,21258
2318980217557802098,1,240,24,2368.9377320418175,1645.6203,408.9674320418178,314.35,21061
4963369176482231765,1,240,24,1896.785989300213,1253.9567666666667,425.9792226335464,216.85,19972
-6534064855532587567,1,240,24,1115.4296320489545,520.8916,441.5713653822879,152.96666666666667,21495
2680789421804199641,1,240,24,1949.3890758572356,1281.54855,441.27385919056917,226.56666666666666,20271
-6576476538661813573,1,240,24,2241.914373895374,1494.0279333333333,444.23644056204085,303.65,20500
