seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
-5541464229484342020,2,240,24,1624.0853741828737,766.86865,611.550057516207,245.66666666666666,10205,0
5203306459365885672,2,240,24,1665.5644547427953,800.9327,612.5317547427954,252.1,9907,0
7642908639498411342,2,240,24,1525.9244722684143,728.18555,582.5055889350809,215.23333333333332,10006,0
-2451299337107840008,2,240,24,1705.3819040083688,847.22125,616.0773206750354,242.08333333333334,10021,0
5928283818417923153,2,240,24,2024.7675347475574,1084.5348666666666,639.4993347475574,300.73333333333335,11188,0
2461734090402507026,2,240,24,1740.5080040699015,882.7334833333333,625.6078540699015,232.16666666666666,10204,0
2134024673109844781,2,240,24,1657.6487541864471,789.4100833333333,630.0886708531136,238.15,10461,0
-8961300118901020200,2,240,24,1505.5350771046346,676.0463833333333,622.055360437968,207.43333333333334,9654,0
8075292919129901534,2,240,24,1406.8110092311015,623.31325,593.1977592311016,190.3,10400,0
-8261313408374103090,2,240,24,1666.3851409792805,795.4371,629.9480409792807,241.0,9967,0
7674419966232165276,2,240,24,1634.0444366077575,786.9251166666667,607.9193199410906,239.2,10088,0
7109546606045534716,2,240,24,1844.567583562084,938.5406,630.0436502287507,275.98333333333335,9723,0
6556361022965809331,2,240,24,1345.0632687966795,602.7231833333333,554.4734187966793,187.86666666666667,10262,0
-8727434480880003295,2,240,24,1497.7204487417575,704.1561333333333,576.1643154084242,217.4,10126,0
316214762330218711,2,240,24,1599.8959353654345,779.49965,585.0296186987679,235.36666666666667,10193,0
511168606054560241,2,240,24,1653.152863981546,787.1322833333334,626.8039139815461,239.21666666666667,10135,0
-6944560613166325532,2,240,24,1557.2540620828152,704.4077,625.9130287494818,226.93333333333334,10306,0
8502646895184153456,2,240,24,1502.6993205555918,687.9359666666667,591.1633538889251,223.6,9917,0
-6150989588647184654,2,240,24,1450.2808716395393,661.3191333333333,589.3450716395394,199.61666666666667,9879,0
6940304193960507239,2,240,24,1576.4356928708708,736.7782166666667,616.5408095375371,223.11666666666667,11005,0
8994497875694156924,2,240,24,1850.2212668236689,952.4254,633.2625334903356,264.53333333333336,10867,0
-2003976480001387728,2,240,24,1433.6216759899228,656.6632,576.1251426565896,200.83333333333334,10441,0
-2327051053310206553,2,240,24,1497.3961692314401,699.7716,578.6912358981066,218.93333333333334,10446,0
