seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
8348805926914617944,1,240,24,1595.189551892585,847.3705333333334,562.0523518925852,185.76666666666668,5644
-6074831616933268332,1,240,24,1589.4297512878916,882.5572166666667,523.8225346212249,183.05,5376
4609548365435455275,1,240,24,1836.6915234048406,1003.2812333333334,591.976956738174,241.43333333333334,5763
-7738932038318543804,1,240,24,14554.986732220783,13368.194866666667,585.3418655541151,601.45,6849
4724555906528056855,1,240,24,1859.3694486808736,1141.2375166666666,527.281932014207,190.85,5487
-7613427130426722137,1,240,24,5424.608410247414,4461.54455,595.9971935807481,367.06666666666666,5928
-6987153191628914343,1,240,24,2727.284142685007,1943.0578,565.9930093516738,218.23333333333332,3510
593719102760161937,1,240,24,2180.4183279588256,1406.1240833333334,546.5609112921591,227.73333333333332,3641
6019716985466879976,1,240,24,8651.046498687658,7393.734983333334,577.1781820209906,680.1333333333333,4975
-6754177050927045587,1,240,24,2362.0875091599632,1540.4264,544.4944424932968,277.1666666666667,3757
3504237456668262013,1,240,24,1740.0371627902975,1031.5918166666668,514.6120127902976,193.83333333333334,3179
-4958017738413943877,1,240,24,1628.8820781017746,872.3780333333333,547.2373781017748,209.26666666666668,3280
-181116516687357498,1,240,24,13108.065978572622,11939.569883333334,570.1127619059547,598.3833333333333,5086
-7589043706283332336,1,240,24,1900.218759334482,1114.9262166666667,563.9258760011484,221.36666666666667,3734
3940559014088127490,1,240,24,3782.051049950326,2844.1887,559.512349950326,378.35,6877
-7292388144719802326,1,240,24,6383.52631779638,5162.162083333334,522.9975677963796,698.3666666666667,4896
513719024211865306,1,240,24,3226.639920644594,2432.5489,510.2910206445941,283.8,3780
-6115852835197331586,1,240,24,2576.0729054153,1750.7301333333332,542.4594387486335,282.8833333333333,3695
-632523065608895636,1,240,24,1744.6390437043965,978.3545333333333,547.4345103710634,218.85,3401
-8889063423066376408,1,240,24,18404.05205849476,17203.546783333335,590.0886084947564,610.4166666666666,4349
2124992656257062341,1,240,24,2117.193005029112,1323.8512166666667,571.2584550291119,222.08333333333334,3311
8588849772074402534,1,240,24,12055.299952036165,10713.93395,571.6160020361643,769.75,5216
-7250920105921760237,1,240,24,1677.3136579413065,947.6746333333333,542.9056912746397,186.73333333333332,3515
-4289699095036147686,1,240,24,2853.0950613351406,1944.5677333333333,587.2106613351409,321.31666666666666,4627
-7889672703266334713,1,240,24,1415.7195561820554,719.11685,520.8360395153887,175.76666666666668,3388
2326716458402889294,1,240,24,1620.739896300114,906.41545,522.7411129667807,191.58333333333334,3034
-6963315252447928942,1,240,24,1865.1531497929182,1029.9868,570.8163497929185,264.35,3419
-764751785695024269,1,240,24,2976.1297683386288,2103.387383333333,564.5923850052953,308.15,4403
-2294919549459197766,1,240,24,1800.2993509102516,1006.7936,568.8557509102517,224.65,2966
-6262579464146390366,1,240,24,2131.209750872248,1330.7270833333334,573.4160008722482,227.06666666666666,3760
1781522892541909820,1,240,24,1895.076052039896,1170.8166,511.02611870656267,213.23333333333332,3383
-8733453743101457066,1,240,24,6607.963292629864,5353.47165,560.2249759631968,694.2666666666667,4340
-9092591269457587291,1,240,24,2450.6836945516416,1650.7161,546.3509278849745,253.61666666666667,3895
2320004403608779468,1,240,24,7957.227870309589,6801.630683333334,563.0805203095885,592.5166666666667,3788
4163442352465315547,1,240,24,2267.6792479721166,1469.4783666666667,560.6008813054499,237.6,3640
7185508855860259284,1,240,24,2071.2608216480608,1296.5311833333333,552.6796383147273,222.05,3243
1814553751068801976,1,240,24,1560.7208882893863,809.5202166666667,544.5006716227194,206.7,2652
8337220753164398579,1,240,24,2732.2643085939317,1861.7219833333334,577.2423252605984,293.3,3270
-1441461963675959954,1,240,24,1951.3840210786057,1134.7724833333334,573.0448710786058,243.56666666666666,2673
-498639333965589607,1,240,24,6215.748141337817,4793.857233333333,554.974241337817,866.9166666666666,2943
