seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,60125.754641837615,58390.61453333333,642.0901085042792,1093.05,23867
-5541464229484342020,1,240,24,67850.92463375705,66121.98716666667,655.5041337570402,1073.4333333333334,24371
5203306459365885672,1,240,24,69981.29547570541,68306.73588333333,616.8595923720887,1057.7,23187
7642908639498411342,1,240,24,62598.95206051995,60904.65,644.5187271866139,1049.7833333333333,23813
-2451299337107840008,1,240,24,71381.5527418417,69660.70646666667,642.7796085083651,1078.0666666666666,27711
5928283818417923153,1,240,24,71250.98617321235,69458.11725,672.7689232123545,1120.1,30480
2461734090402507026,1,240,24,66673.76578875766,64908.477966666665,650.3878220910063,1114.9,17176
2134024673109844781,1,240,24,69402.9794936516,67706.3399,641.0062603182567,1055.6333333333334,23690
-8961300118901020200,1,240,24,87258.07250951101,85399.33096666666,655.3748761776784,1203.3666666666666,24151
8075292919129901534,1,240,24,94036.89986519983,92127.72446666667,666.3920651998244,1242.7833333333333,19771
72056.11833839942std=10567.90962374065
