seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,7126.274659596121,5697.94985,728.591476262787,699.7333333333333,2612
-5541464229484342020,1,240,24,7068.36179748434,5616.61855,731.0265808176734,720.7166666666667,2214
5203306459365885672,1,240,24,7798.322595406515,6278.307316666666,755.9486120731816,764.0666666666667,2689
7642908639498411342,1,240,24,6974.754697123544,5527.246883333333,749.0078137902108,698.5,2066
-2451299337107840008,1,240,24,8848.75967264188,7364.293316666666,741.0663559752134,743.4,2706
5928283818417923153,1,240,24,6135.970266135256,4719.50835,766.2785828019223,650.1833333333333,1181
2461734090402507026,1,240,24,12104.799230027078,10197.991933333333,738.2572966937457,1168.55,2046
2134024673109844781,1,240,24,6309.755583460989,4908.0908,746.031450127656,655.6333333333333,1400
-8961300118901020200,1,240,24,5421.7422291340545,4159.4619,722.6969958007207,539.5833333333334,1250
8075292919129901534,1,240,24,7063.998553889869,5614.233716666667,742.0148372232028,707.75,1481
-8261313408374103090,1,240,24,11041.120359651453,9248.965966666667,779.6877263181192,1012.4666666666667,2174
7109546606045534716,1,240,24,7950.317588501743,6416.574116666667,805.3768051684094,728.3666666666667,1167
6556361022965809331,1,240,24,6554.166860977605,5154.740766666667,736.876094310938,662.55,1391
-8727434480880003295,1,240,24,10678.454673529108,8976.078666666666,776.842673529109,925.5333333333333,1833
316214762330218711,1,240,24,6339.835629481077,5003.7067,724.0455961477446,612.0833333333334,1295
511168606054560241,1,240,24,7754.949798893855,6217.945033333333,792.0714322271879,744.9333333333333,1196
8502646895184153456,1,240,24,7157.588473047191,5649.650233333334,757.4882397138572,750.45,767
-6150989588647184654,1,240,24,7445.435024428477,5948.990616666667,757.5110744284766,738.9333333333333,565
7765.255982967231
