seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
8348805926914617944,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1518
-6074831616933268332,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1476
4609548365435455275,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1520
-7738932038318543804,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1146
4724555906528056855,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1223
-7613427130426722137,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1098
-6987153191628914343,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1085
593719102760161937,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1133
6019716985466879976,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,1155
-6754177050927045587,1,240,24,40114.48682373037,38921.60975,244.1104070636916,948.7666666666667,722
