seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,2083.1307422210107,1413.0782833333333,406.6524588876776,263.4,20044
-5541464229484342020,1,240,24,1937.881813312731,1281.1271,422.7547133127312,234.0,18370
5203306459365885672,1,240,24,1385.967917870962,731.1931,430.5581512042953,224.21666666666667,18601
7642908639498411342,1,240,24,2184.7889389624615,1446.9671166666667,408.58848896246184,329.23333333333335,19585
-2451299337107840008,1,240,24,1267.1057989148283,697.5743333333334,410.5814655814949,158.95,19090
5928283818417923153,1,240,24,1186.4495356638677,591.06465,397.0182189972011,198.36666666666667,19331
2461734090402507026,1,240,24,1579.5245734038972,938.7980333333334,430.359873403897,210.36666666666667,19172
2134024673109844781,1,240,24,2814.5992369867145,1948.9316833333332,424.95088698671435,440.71666666666664,18663
-8961300118901020200,1,240,24,1267.2587584927342,618.3265833333334,434.7821751594006,214.15,19130
8075292919129901534,1,240,24,4114.555855433349,3114.2916333333333,391.0808887666825,609.1833333333333,19163
-8261313408374103090,1,240,24,770.3417502701667,259.0220166666667,417.70306693683335,93.61666666666666,19165
7674419966232165276,1,240,24,1213.175154853492,621.8410833333334,403.7674048534919,187.56666666666666,19461
7109546606045534716,1,240,24,1597.7568548871504,931.0099,413.18028822048393,253.56666666666666,19569
6556361022965809331,1,240,24,1758.8402403693553,1135.43795,394.16895703602205,229.23333333333332,20264
-8727434480880003295,1,240,24,1333.785090115353,733.11415,400.13760678201953,200.53333333333333,19355
316214762330218711,1,240,24,1967.6722441605866,1270.7703,427.7686108272535,269.1333333333333,20300
511168606054560241,1,240,24,1028.3431615388768,495.08205,380.56111153887673,152.7,22176
-6944560613166325532,1,240,24,2086.0931131277007,1428.8590666666666,391.8173797943676,265.4166666666667,18730
8502646895184153456,1,240,24,1357.874884909695,737.33335,433.5582015763617,186.98333333333332,20523
-6150989588647184654,1,240,24,745.3818840190083,243.07535,416.43986735234165,85.86666666666666,21198
6940304193960507239,1,240,24,1042.508429875617,504.97453333333334,406.1672298756167,131.36666666666667,19495
8994497875694156924,1,240,24,1899.2149307179302,1286.4677833333333,398.247147384597,214.5,21119
-2003976480001387728,1,240,24,1197.5059754580566,582.7193666666667,417.81994212472324,196.96666666666667,20471
-2327051053310206553,1,240,24,2177.6449064802155,1415.4613166666666,446.78358981354893,315.4,20317
647836301658713295,1,240,24,1856.280404296551,1241.2519166666666,395.49515429655116,219.53333333333333,19569
-71164265115712545,1,240,24,2172.5352994020054,1455.5000833333334,406.35188273533896,310.68333333333334,20596
-481587656727886274,1,240,24,1765.7510972792952,1097.4993833333333,390.60171394596193,277.65,21154
-4655524451843305732,1,240,24,1895.6668774282525,1233.2774833333333,393.00606076158573,269.3833333333333,25695
-1727967857368879678,1,240,24,2084.4461377465186,1426.3463666666667,404.0331044131854,254.06666666666666,19895
5771633175417198029,1,240,24,1008.3712537008133,479.1423,411.0622870341467,118.16666666666667,25512
1692.681762063306std=671.5731218694975
