seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
-53851520451341413,1,240,24,2299.4831456387624,1546.6990666666666,543.9507456387624,208.83333333333334,2708
313911499067711207,1,240,24,2287.1275404295725,1438.8384833333334,566.1557237629057,282.1333333333333,2261
-7573257438852568366,1,240,24,3743.6852884353675,2878.305,549.7636217687009,315.6166666666667,2717
6268933359552781435,1,240,24,2220.0376640190784,1471.46915,531.1018473524119,217.46666666666667,2273
-7245993754673586439,1,240,24,1906.3697996579915,1159.48635,523.116782991325,223.76666666666668,2348
-645184596682146994,1,240,24,1912.772716823692,1183.8623333333333,533.2270501570252,195.68333333333334,2141
834380865543263811,1,240,24,1895.8925031735052,1115.2670833333334,541.2420865068385,239.38333333333333,1936
-596618447242228488,1,240,24,1927.2985191126816,1143.7540666666666,548.4611191126818,235.08333333333334,1855
-198394028768537662,1,240,24,2217.827464101712,1401.82215,565.5719807683786,250.43333333333334,2125
-6806195287666142596,1,240,24,1997.7151142930627,1233.1558833333333,536.0758976263959,228.48333333333332,1434
