seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,2,240,33,3586.1167323881036,2419.1130166666667,667.1703823881035,499.8333333333333,13257,0
-5541464229484342020,2,240,33,3457.8594425122524,2300.523833333333,668.4022758455859,488.93333333333334,12920,0
5203306459365885672,2,240,33,3723.25328548383,2532.5021333333334,683.9011521504967,506.85,12475,0
7642908639498411342,2,240,33,3430.212348103603,2272.13905,676.9066314369361,481.1666666666667,12781,0
-2451299337107840008,2,240,33,3681.2628309589672,2498.5030833333335,677.0597476256341,505.7,13531,0
5928283818417923153,2,240,33,3607.6695073059373,2443.7839,668.9689406392707,494.9166666666667,12418,0
2461734090402507026,2,240,33,3826.9811287058196,2606.8435666666664,689.2208953724866,530.9166666666666,13913,0
2134024673109844781,2,240,33,3403.000626983621,2261.558916666667,657.8750436502872,483.56666666666666,13020,0
-8961300118901020200,2,240,33,3871.5526004755266,2717.273,654.7296004755261,499.55,11349,0
8075292919129901534,2,240,33,3999.7656430862044,2784.3369,684.728743086205,530.7,13606,0
-8261313408374103090,2,240,33,3723.513747344296,2520.21315,691.9172640109629,511.3833333333333,13916,0
7674419966232165276,2,240,33,3389.440149120171,2249.01075,657.7627324535049,482.6666666666667,12258,0
7109546606045534716,2,240,33,3705.7617736993866,2574.60395,632.2411570327199,498.9166666666667,14197,0
6556361022965809331,2,240,33,3394.489032397378,2273.7916666666665,644.5473657307116,476.15,12171,0
-8727434480880003295,2,240,33,4258.429901952392,2989.286,701.610568619059,567.5333333333333,13946,0
316214762330218711,2,240,33,3631.0526962963986,2446.5054666666665,684.413896296399,500.1333333333333,11099,0
511168606054560241,2,240,33,3599.3285831311546,2403.6725666666666,689.6560164644881,506.0,11835,0
-6944560613166325532,2,240,33,3818.3743586558703,2593.1664,704.6912919892034,520.5166666666667,13850,0
8502646895184153456,2,240,33,4048.710047287803,2823.59415,682.6492306211362,542.4666666666667,14802,0
-6150989588647184654,2,240,33,3934.4032793351107,2710.910516666667,695.9760960017777,527.5166666666667,13179,0
6940304193960507239,2,240,33,3890.734310492764,2675.0859,687.7150771594304,527.9333333333333,13407,0
8994497875694156924,2,240,33,3815.2646903122222,2616.9032,677.6781569788886,520.6833333333333,13984,0
-2003976480001387728,2,240,33,3517.910639279765,2372.1314166666666,651.5458892797649,494.23333333333335,13199,0
-2327051053310206553,2,240,33,3736.048024885734,2590.70565,664.5090415524004,480.8333333333333,13070,0
647836301658713295,2,240,33,3939.0857453333683,2716.4557833333333,698.1799620000347,524.45,13298,0
-71164265115712545,2,240,33,3514.457414684941,2347.11125,676.0128313516075,491.3333333333333,12270,0
-481587656727886274,2,240,33,3829.837804504652,2617.3655833333332,698.3388878379853,514.1333333333333,11725,0
-4655524451843305732,2,240,33,3161.6358127547883,2105.73135,611.137796088122,444.76666666666665,11393,0
-1727967857368879678,2,240,33,3784.6990151766067,2588.52085,681.1281651766071,515.05,11507,0
5771633175417198029,2,240,33,4069.2941191744203,2836.3056833333335,693.8551025077537,539.1333333333333,10806,0
3711.6715097274364 242.6117835011495 3161.6358127547883 3517.0473331310586 3723.383516414063 3876.348027979836 4258.429901952392 3954.283293228586
