seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
782583506969552992,1,240,24,1529.3652424831168,764.4664,562.8488424831168,202.05,2952
-5541464229484342020,1,240,24,1354.2878075158083,661.75055,501.4205908491418,191.11666666666667,1256
5203306459365885672,1,240,24,1444.3533381196498,719.4840666666666,540.1859381196497,184.68333333333334,1261
7642908639498411342,1,240,24,1454.046526791157,699.17625,554.1036101244905,200.76666666666668,1221
-2451299337107840008,1,240,24,1386.6667383565234,666.7439166666667,542.7728216898566,177.15,1362
5928283818417923153,1,240,24,1615.00711070291,828.8160833333334,560.37436070291,225.81666666666666,1439
2461734090402507026,1,240,24,1666.692253906013,894.7477333333334,558.1445205726799,213.8,1407
2134024673109844781,1,240,24,1643.8247479899426,860.46615,560.0585979899427,223.3,1180
-8961300118901020200,1,240,24,1475.7000496666446,711.4488666666666,553.0845163333113,211.16666666666666,1396
8075292919129901534,1,240,24,1432.1742116872647,691.6643666666666,547.3598450205981,193.15,1200
-8261313408374103090,1,240,24,1232.9405744833332,517.5334666666666,550.8571078166665,164.55,1208
7674419966232165276,1,240,24,1319.6728049791902,586.9612666666667,545.9782049791902,186.73333333333332,1201
7109546606045534716,1,240,24,1635.014979352472,826.0706833333334,579.8442960191387,229.1,1373
6556361022965809331,1,240,24,1415.5284587804072,704.6278166666667,515.4673087804072,195.43333333333334,1093
-8727434480880003295,1,240,24,1250.8205347590663,552.4342833333334,530.969584759066,167.41666666666666,1110
316214762330218711,1,240,24,1477.4400135570445,700.6415166666667,574.6651635570445,202.13333333333333,1120
511168606054560241,1,240,24,1472.676953928861,749.9372833333333,526.5563372621942,196.18333333333334,1185
-6944560613166325532,1,240,24,1435.4556958648652,697.8771,538.3452625315317,199.23333333333332,1138
8502646895184153456,1,240,24,1538.6785702535385,769.7316666666667,552.4135702535386,216.53333333333333,1115
-6150989588647184654,1,240,24,1414.9814503561734,660.0475166666666,551.2506003561734,203.68333333333334,1151
6940304193960507239,1,240,24,1368.3879176361665,587.3949666666666,592.0762843028332,188.91666666666666,1191
8994497875694156924,1,240,24,1617.7790322742526,878.2506166666667,538.7617489409192,200.76666666666668,1054
-2003976480001387728,1,240,24,1361.3396971202087,654.4516,533.4880971202085,173.4,1259
-2327051053310206553,1,240,24,1424.8136647782899,697.3096833333333,528.5706481116231,198.93333333333334,1224
647836301658713295,1,240,24,1539.0428125667468,793.1714,541.8714125667467,204.0,1326
-71164265115712545,1,240,24,1279.409632970587,544.3093333333334,557.3002996372537,177.8,1171
-481587656727886274,1,240,24,1216.800252510919,553.2153666666667,512.2182191775856,151.36666666666667,1062
-4655524451843305732,1,240,24,1444.3098475601448,687.9579,558.8186142268115,197.53333333333333,1220
-1727967857368879678,1,240,24,1876.0207976712627,1060.7724666666666,568.4649976712628,246.78333333333333,1301
5771633175417198029,1,240,24,1227.469773702842,514.2912166666666,537.0952237028422,176.08333333333334,1111
1451.6900497441795std=149.4456008070736
