seed,instance,duration,frequency,cost,tardiness,travelTime,overTime,computationTime
5771633175417198029,1,240,24,1919.9306516025486,1111.5496833333334,498.64763493588174,309.73333333333335,5233,3
8299545893154012244,1,240,24,3775.178102297151,2798.9333,483.7281356304839,492.51666666666665,4826,7
3851493833045990751,1,240,24,2727.803997458984,1843.0545166666666,509.0661474589843,375.68333333333334,5243,6
-1432278026293412667,1,240,24,2280.779613642923,1494.9890666666668,476.8238803095894,308.96666666666664,5628,4
-8747899710202098414,1,240,24,1914.513674086376,1150.9748833333333,519.2721240863762,244.26666666666668,5213,6
4129039993280480381,1,240,24,4937.302185706376,3837.2013333333334,499.6175190397086,600.4833333333333,5887,11
-769090451196786164,1,240,24,2763.6068968011996,1827.06615,504.6574134678663,431.8833333333333,5586,7
-764304691022715676,1,240,24,6006.583467944137,4813.14015,497.543317944137,695.9,5983,10
-2097961214477019518,1,240,24,2142.8142474106176,1327.3046166666666,517.4596307439508,298.05,6001,4
-2172443498801002141,1,240,24,1548.017681769852,840.7485666666666,521.5357817698521,185.73333333333332,5056,2
-3594014996973682261,1,240,24,4291.7656251394055,3292.21305,497.3359084727394,502.21666666666664,5518,9
2174041221540221373,1,240,24,3489.007645226947,2541.2163666666665,488.5912785602805,459.2,5392,7
7652091727516579789,1,240,24,3266.0851162624886,2380.2467666666666,476.1883495958219,409.65,4847,6
4806663257436010884,1,240,24,2856.8652020791883,1982.3380833333333,499.39378541252177,375.1333333333333,5705,8
4019719714918249116,1,240,24,3630.3428180648452,2623.43145,543.4113680648453,463.5,5905,7
1233470051117142250,1,240,24,2842.26688955835,2012.1660333333334,470.60085622501686,359.5,5337,5
-4756520794406406775,1,240,24,4151.269169698184,3147.520716666667,491.59845303151695,512.15,5041,8
7072971265770373254,1,240,24,2849.705633022179,1977.2632,497.2757663555122,375.1666666666667,5658,6
-2980548973580349928,1,240,24,2314.378135769273,1442.5819833333333,518.2461524359395,353.55,4757,6
-229373424160374971,1,240,24,3706.9100351317834,2725.595783333333,517.530918465117,463.78333333333336,5956,7
-4837391276686027125,1,240,24,5879.93006737058,4610.740466666667,537.9062673705799,731.2833333333333,5269,13
4457982772288341560,1,240,24,3768.925053235993,2778.064733333333,511.41031990266015,479.45,6635,7
3065592784053488403,1,240,24,4149.173496514895,3104.0740166666665,511.0994798482282,534.0,6311,7
5603879172479884005,1,240,24,1880.7525137477646,1104.5148,510.30438041443136,265.93333333333334,6011,3
-5565222327294036679,1,240,24,2700.59688164199,1828.6861666666666,517.7273816419901,354.18333333333334,5873,8
6591253900282895354,1,240,24,1194.6143300781087,571.3578666666667,471.85646341144184,151.4,5720,2
-2019178871806265670,1,240,24,4651.037604861184,3588.9967833333335,474.39082152785096,587.65,6195,10
7162833630586874668,1,240,24,2220.655764814089,1436.425,514.880764814089,269.35,6388,4
-7426705826541977542,1,240,24,2857.666866662073,2019.5830833333334,469.3004499954062,368.78333333333336,6609,7
